path,role,rows_excluding_header,columns,compressed_size_bytes,release_location
data/development/main_dataset.csv.gz,Candidate100-clean development matrix,60641,3562,612078421,GitHub Release v1.0.0 asset
data/test/test4000_features.csv.gz,Frozen internal test feature matrix,4000,3563,40142046,GitHub Release v1.0.0 asset
data/test/test4000_predictions.csv,Frozen internal test labels and final-model predictions,4000,39,2446787,Git repository
data/external/external_broad_n140.csv,Broad structural-compatible external validation set,140,30,59249,Git repository
data/external/external_strict_n34.csv,Strict 65k-aligned subset of broad external validation set,34,30,13813,Git repository
metadata/feature_dictionary.csv,Column-level feature metadata,3562,14,982760,Git repository
metadata/final_model_registry.csv,Frozen final-model component registry,10,6,1256,Git repository
metadata/figure_source_index.csv,Figure-to-source-data index,25,4,3911,Git repository
data/candidates/candidate78_final_predictions.csv,Final 78-candidate D/P prediction table,78,34,38258,Git repository
data/candidates/candidate78_pareto_knee.csv,Frozen eight-point Pareto-knee selection table,8,8,483,Git repository
data/figure_source/,Compact ML figure source-data directory,25,not applicable,not applicable,Git repository
